SGEAZM7OHRE981138,Q5,2011,39759,great engine; ,SUV,Audi
38ZSAKVC20U930606,V12 VANTAGE,2019,137449,best sedan; ,Minivan,Martin
VROU7UEWYWK097688,ESCALADE EXT,2008,19743,anti-lock brake system (ABS); ,Minivan,Cadillac
2CEDOZQS3WI014174,MP4-12C,2016,11800,2008,Minivan,McLaren
N5VAEVB47M5598208,ROADSTER,2009,1519,anti-lock brake system (ABS); ,Minivan,Tesla
FRCY3VYNL42885570,GRANSPORT,2007,67992,superturbocharger; ,McLaren,Maserati
BMMT70O7FLR864961,GALLARDO,2013,41550,sturdy side impact beams; ,Sedan,Lamborghini
GB5EB3AIUD0242483,760LI,2014,42293,automatic torque converter; high block; ,Coupe,BMW
H7PM7E5LCY5894305,TT QUATTRO,2002,33935,unibody construction; ,Convertible,Audi
RZ64Q4VF3EC682670,HIACE,2011,143278,Comes with a roof rack,Convertible,Toyota
WJENS213H4U188325,CAVALIER,2001,6605,small spark plug gap; ,Sedan,Chevrolet
ZIYO5EKWDKS246902,V60,2018,11515,original equipment manufacturer (OEM) parts; ,Van,Volvo
XK51E6IAGWW949280,SOUL,2010,17770,no backfire/backfiring; ,SUV,Kia
8HJHTFE0FGU264640,MT45,2006,28290,innovative air bags; ,Minivan,Freightliner
YSPKFT8VKW8617087,S2000,2001,93559,engine displacement; ,Convertible,Honda
L2G40AKW0DV261314,SONATA,2003,4388,wide chassis; drum brake; ,Coupe,Hyundai
QNGJBXZ0ZPN690169,GENESIS,2016,68300,sturdy rear axle assembly; moonroof,Van,Hyundai
IB3FDW7VPTE357125,CALIFORNIA,2011,55068,disc brake; crankcase; ,Van,Ferrari
C1OCSTQ1VP0823459,XFR-S,2017,104976,original equipment manufacturer (OEM) parts; drum brake; convertible; ,Minivan,Jaguar
7Y1EAHONCCS732936,CALIBER,2012,8247,best suspension; ,Minivan,Dodge
AI51SMWRVBH997689,MERIVA,2008,102980,ultra new transmission; ,Van,Chevrolet
58SXUC0BZIA446980,CRF70F,2008,161228,crankcase; hydraulic brakes; ,Truck,Honda
EAJW0OF78HV386515,SPRINTER 3500,2002,129480,,Coupe,Freightliner
AKHFEO0D1D4893889,FE-SP,2004,3544,wide cam; ,Truck,Mitsubishi
BNWE37HKK6A465562,GIULIETTA,2019,58848,coupe; ,Van,Romeo
6HKQMAEQ5PA690783,PATRIOT,2011,29506,supernew catalytic converter; ,Sedan,Jeep
I7CVVBU08H1044370,EOS,2008,49142,disc brake; gap; ,Sedan,Volkswagen
MW6HGX7M6O4186962,V8 VANTAGE,2011,2092,,Convertible,Aston
SJV51DZQ416158315,PASSAT,2013,176770,autotachometer;,Minivan,Volkswagen
CHA3G8GE21K992177,SUBURBAN 1500,2017,12174,broad wheelbase; crankcase; ,Truck,Chevrolet
1D377TZAWSW801985,GT,2008,36111,no backfire/backfiring; ,Minivan,Romeo
EMARJQJLUEI221810,ARNAGE,2001,50919,normally aspirated; ,Minivan,Bentley
UEHE08QS622862172,PRIUS V,2013,20001,high torque; ,Convertible,Toyota
KIYTRMRZHSZ939929,GRANSPORT,2007,91502,,Truck,Maserati
MXF3EGT2PAG490479,FORESTER,2008,42500,good piston; ,Coupe,Subaru
VSGK3RYW2TC911641,S40,2002,102289,wide cam; ,Sedan,Volvo
ZS1SXM3GTO8957023,ESCALADE EXT,2007,11720,air filtration system; ,Truck,Cadillac
ABCX0O07N6F519334,575 M MARANELLO,2005,107835,original equipment manufacturer (OEM) parts; modern dashboard; high torque; ,Sedan,Ferrari
H0SVSC0X1W0660350,EXPRESS 4500,2013,37800,high differential; automatic valves; ,Coupe,Chevrolet
IOCT8QVK86C997015,CONTINENTAL,2012,98400,,Minivan,Bentley
XLHSC830B4B709486,C70,2010,10582,drum brake; ,Convertible,Volvo
XG2F8AZ3DKK768039,FORTE KOUP,2016,31600,,Convertible,Kia
23XI32P0M0K897737,CAYMAN,2007,102280,,Convertible,Porsche
2TN1NJUXESG344969,IMPREZA,2018,11972,automatic torque converter; ,SUV,Subaru
2KANK83IC2A444270,SILVERADO 2500 HD,2011,100896,minivan; ,Convertible,Chevrolet
XOBOW6AU18A917853,MARK LT,2008,5133,,Van,Lincoln
22420XMJ47N471618,S,2013,111720,supernew catalytic converter; ,SUV,Tesla
VP0U4FNOL1Q272112,MITO,2013,84541,manual transmission; ,SUV,Alfa
1EW5SWZMNBU661507,TT QUATTRO,2005,61050,best sedan; automatic transmission; engine displacement; ,Van,Audi
7FT34LPXEKD855738,MT55,2009,96640,,Coupe,Freightliner
E64AFHYM7CM667399,AZURE,2010,84966,front wheel drive; fuel injection; Automotive Service Excellence (ASE); ,Convertible,Bentley
426W8PU85BH593514,IMPREZA,2011,52180,crankcase; hydraulic brakes; ,Sedan,Subaru
KRDZJUDE7EC973298,COUPE,2003,32130,can be used as sports car; ,SUV,Maserati
EFUWNBMO3TM316916,ELISE,2011,158818,automatic safety features; ,Van,Lotus
LAW66TO51NY340329,TRX500FGA FOURTRAX FOREMAN RUBICON,2008,129900,gap; no backfire/backfiring; ,Sedan,Honda
SX73Y7QKKQF628146,EOS,2012,75560,,Minivan,Volkswagen
