1,2019-01-02,2019-01-03,completed,58.17,adjust block heater; replace brake pedal spring; ,Rundofase,
2,2019-01-06,2019-01-06,pending,29.08,repair direct injection system; fix cylinder head bolts; ,Rundofase,
3,2019-01-06,2019-01-08,completed,25.78,change memory settings of the onboard computer; reduce fuel consumption; ,Zoomit,19V035000
4,2019-01-08,2019-02-02,in progress,163.11,replace water pump; change steering rack; ,Cancity,
5,2019-01-08,2019-01-08,completed,29.08,adjust adaptive cruise control; add knee airbags; ,Toughzap,
6,2019-01-09,2019-01-18,in progress,235.7,reduce carbon footprint; adjust retractable mirrors; ,Cancity,
7,2019-01-09,2019-01-10,completed,58.17,change suspension fluid; replace catalytic converter; ,Newex,14V624000
8,2019-01-10,2019-01-17,in progress,547.42,repair seatbelt force limiters; replace tail lights; ,Zoomit,
9,2019-01-13,2019-01-13,in progress,29.08,adjust accelerator pedal linkage; ,Zencorporation,
10,2019-01-14,2019-01-15,completed,32.57,adjust turn signals; change memory settings of the onboard computer; ,Rundofase,
11,2019-01-14,2019-01-18,in progress,51.26,install curtain airbags; install smoked glass; ,Zoomit,06V445000
12,2019-01-14,2019-01-17,pending,29.08,configure universal remote control; adjust turn signals; ,Zoomit,
13,2019-01-16,2019-01-19,pending,118.73,repair direct injection system; install anti-theft alarm; ,Zoomit,
14,2019-01-17,2019-01-19,completed,16.29,repair seatbelt force limiters; ,Fasehatice,
15,2019-01-17,2019-03-25,completed,4118.68,improve engine performance; adjust adaptive cruise control; ,Newex,
16,2019-01-17,2019-01-17,pending,51.03,fix a-pillar; ,Zumgoity,15V504000
17,2019-01-19,2019-02-11,pending,1073,replace radiator hoses; replace radiator core & ac condenser; ,Zencorporation,09E012000
18,2019-01-19,2019-01-19,in progress,47.64,install smoked glass; adjust low fuel warning indicator; ,Zoomit,
19,2019-01-19,2019-01-22,completed,204.13,fix rear defroster; reduce blind spot; ,Zumgoity,
20,2019-01-20,2019-02-27,pending,664.32,replace catalytic converter; replace diverter valve; ,Fasehatice,
21,2019-01-20,2019-01-20,in progress,16.29,install dusk-sensing headlights; install on-board diagnosis system; ,Toughzap,09V428000
22,2019-01-22,2019-01-28,pending,333.51,adjust traction control system; adjust retractable mirrors; ,Fasehatice,
23,2019-01-23,2019-01-25,in progress,79.15,prevent fuel pump shutoff; reduce blind spot; ,Toughzap,
24,2019-01-24,2019-01-26,in progress,153.1,replace ace filter; replace ace filter; ,Zoomit,06E064000
25,2019-01-24,2019-01-28,in progress,81.43,change speaker configuration; change timing belt; ,Zoomit,06V205000
26,2019-01-24,2019-03-29,in progress,235.3,change brake linings; replace crankcase ventilation filter; ,Zoomit,
27,2019-01-25,2019-01-27,pending,102.78,change brake linings; install curtain airbags; ,Fasehatice,
28,2019-01-25,2019-02-14,pending,57.06,check drive axle boots; change timing belt; ,Zencorporation,
29,2019-01-25,2019-02-14,pending,117.85,adjust running boards; replace catalytic converter; ,Zoomit,
30,2019-01-25,2019-02-01,completed,154.42,attach spoiler; fix a-pillar; ,Zumgoity,
31,2019-01-26,2019-02-28,pending,340.05,change oil filter; repair shiftable automatic transmission; ,Fasehatice,
32,2019-01-26,2019-04-20,completed,17.42,attach spoiler; set up satellite radio; ,Zoomit,
33,2019-01-26,2019-02-01,completed,132.53,set up satellite radio; change suspension fluid; ,Zumgoity,
34,2019-01-27,2019-02-12,pending,17.42,add knee airbags; adjust low fuel warning indicator; ,Cancity,
35,2019-01-28,2019-01-29,completed,102.07,fix sunroof; adjust regenerative braking; ,Cancity,12V524000
36,2019-01-28,2019-02-01,completed,18.86,improve cylinder configuration; attach seat extension; ,Cancity,
37,2019-01-28,2019-01-31,pending,79.15,reduce carbon footprint; fix rear hvac; ,Rundofase,
38,2019-01-29,2019-01-29,completed,25.63,replace crankcase ventilation filter; change suspension fluid; ,Fasehatice,17V359000
39,2019-01-30,2019-02-15,pending,205.28,change wheel cylinders; repair direct injection system; ,Fasehatice,
40,2019-01-30,2019-01-30,in progress,51.03,replace tail lights; change pcv filter/pcv valve; ,Toughzap,
41,2019-01-30,2019-02-18,completed,486.95,adjust retractable mirrors; adjust ignition timing; ,Zoomit,
42,2019-01-31,2019-02-02,completed,87.25,repair seatbelt force limiters; fix solar sunroof; ,Toughzap,
43,2019-02-01,2019-02-02,pending,68.52,attach seat extension; reduce blind spot; ,Rundofase,17V389000
44,2019-02-02,2019-02-03,completed,51.03,change wheel cylinders; replace brake pedal spring; ,Newex,
